17/09/2009  00:05:14   Entrada                                      Acceso Otorgado    
17/09/2009  00:13:39   Salida                           0002123420  Acceso Otorgado    
17/09/2009  01:55:13   Salida                           0002811039  Acceso Otorgado    
17/09/2009  01:55:43   Salida                           0002811023  Acceso Otorgado    
17/09/2009  02:30:49   Salida                           0001370601  Acceso Otorgado    
17/09/2009  07:26:35   Entrada                          0001832127  Acceso Otorgado    
17/09/2009  07:51:52   Entrada                          0001832123  Acceso Otorgado    
17/09/2009  07:54:06   Entrada                          0001972300  Acceso Otorgado    
17/09/2009  07:55:50   Entrada                          0001972261  Acceso Otorgado    
17/09/2009  07:57:56   Entrada                          0003201228  Acceso Otorgado    
17/09/2009  08:04:55   Entrada                          0001832147  Acceso Otorgado    
17/09/2009  08:05:32   Entrada                          0002811041  Acceso Otorgado    
17/09/2009  08:05:45   Entrada                          0002810328  Acceso Otorgado    
17/09/2009  08:07:06   Entrada                          0001832189  Acceso Otorgado    
17/09/2009  08:08:05   Entrada                          0001370633  Acceso Otorgado    
17/09/2009  08:08:59   Entrada                          0002123422  Acceso Otorgado    
17/09/2009  08:11:29   Entrada                          0001832129  Acceso Otorgado    
17/09/2009  08:12:00   Entrada                          0002810322  Acceso Otorgado    
17/09/2009  08:12:07   Entrada                          0001370617  Acceso Otorgado    
17/09/2009  08:15:10   Entrada                          0001370616  Acceso Otorgado    
17/09/2009  08:15:13   Entrada                          0003201208  Acceso Otorgado    
17/09/2009  08:16:10   Entrada                          0001972262  Acceso Otorgado    
17/09/2009  08:16:23   Entrada                          0002123420  Acceso Otorgado    
17/09/2009  08:16:52   Entrada                          0001370632  Acceso Otorgado    
17/09/2009  08:18:09   Entrada                          0001972260  Acceso Otorgado    
17/09/2009  08:18:30   Entrada                          0002123413  Acceso Otorgado    
17/09/2009  08:20:13   Entrada                          0002811022  Acceso Otorgado    
17/09/2009  08:20:16   Entrada                          0001832125  Acceso Otorgado    
17/09/2009  08:20:32   Entrada                          0001972257  Acceso Otorgado    
17/09/2009  08:20:34   Entrada                          0001370624  Acceso Otorgado    
17/09/2009  08:22:11   Entrada                          0001972256  Acceso Otorgado    
17/09/2009  08:22:36   Entrada                          0001370648  Acceso Otorgado    
17/09/2009  08:22:38   Entrada                          0001832135  Acceso Otorgado    
17/09/2009  08:22:58   Entrada                          0001972278  Acceso Otorgado    
17/09/2009  08:24:41   Entrada                          0001832186  Acceso Otorgado    
17/09/2009  08:25:36   Entrada                          0001370640  Acceso Otorgado    
17/09/2009  08:26:27   Entrada                          0001972258  Acceso Otorgado    
17/09/2009  08:26:46   Entrada                          0001370603  Acceso Otorgado    
17/09/2009  08:26:54   Entrada                          0001370637  Acceso Otorgado    
17/09/2009  08:26:56   Entrada                          0001370607  Acceso Otorgado    
17/09/2009  08:27:06   Entrada                          0002123412  Acceso Otorgado    
17/09/2009  08:27:26   Entrada                          0001972259  Acceso Otorgado    
17/09/2009  08:27:32   Entrada                          0001832134  Acceso Otorgado    
17/09/2009  08:27:54   Entrada                          0001972263  Acceso Otorgado    
17/09/2009  08:28:48   Entrada                          0001972276  Acceso Otorgado    
17/09/2009  08:28:50   Entrada                          0002123411  Acceso Otorgado    
17/09/2009  08:28:56   Entrada                          0002810301  Acceso Otorgado    
17/09/2009  08:29:03   Entrada                          0001370622  Acceso Otorgado    
17/09/2009  08:29:08   Entrada                          0001972251  Acceso Otorgado    
17/09/2009  08:30:12   Entrada                          0001370627  Acceso Otorgado    
17/09/2009  08:30:15   Entrada                          0001370638  Acceso Otorgado    
