aponce         2010-03-01 07:33:30 D D
pclaros        2010-03-01 08:07:38 D D
nnumbela       2010-03-01 08:08:37 D D
jevargas       2010-03-01 08:12:32 D D
drocha         2010-03-01 08:13:05 D D
malmanza       2010-03-01 08:17:17 D D
hmantezana     2010-03-01 08:17:23 D D
despinoza      2010-03-01 08:22:30 D D
jleano         2010-03-01 08:22:41 D D
jmita          2010-03-01 08:24:31 D D
jrojas         2010-03-01 08:24:41 D D
alaura         2010-03-01 08:24:58 D D
hcaceres       2010-03-01 08:26:28 D D
mjaldin        2010-03-01 08:26:39 D D
czamora        2010-03-01 08:29:31 D D
ebeltran       2010-03-01 08:30:25 D D
amaldonado     2010-03-01 08:30:33 D D
nzurita        2010-03-01 08:31:16 D D
tescriva       2010-03-01 08:31:24 D D
aencinas       2010-03-01 08:31:48 D D
dayaviri       2010-03-01 08:31:57 D D
fmosquera      2010-03-01 08:32:58 D D
scastro        2010-03-01 08:33:20 D D
dmaldonado     2010-03-01 08:34:05 D D
lgalindo       2010-03-01 08:34:44 D D
eudaeta        2010-03-01 08:34:51 D D
vdaga          2010-03-01 08:34:58 D D
jpinto         2010-03-01 08:35:06 D D
rvillarroel    2010-03-01 08:36:07 D D
rbaldelomar    2010-03-01 08:38:18 D D
baranibar      2010-03-01 08:38:26 D D
ovelarde       2010-03-01 08:39:24 D D
ozarate        2010-03-01 08:39:53 D D
bgranado       2010-03-01 08:40:03 D D
rvera          2010-03-01 08:40:11 D D
mgarcia        2010-03-01 08:40:19 D D
dhuarita       2010-03-01 08:40:28 D D
rcordero       2010-03-01 08:44:10 D D
fsanchez       2010-03-01 08:44:52 D D
gaguilar       2010-03-01 08:49:21 D D
cquiroga       2010-03-01 08:50:50 D D
vbadani        2010-03-01 08:52:01 D D
fvega          2010-03-01 08:52:18 D D
pdaza          2010-03-01 08:52:55 D D
agutierrez     2010-03-01 09:34:59 D D
rvera          2010-03-01 12:00:18 0 D
vbadani        2010-03-01 12:04:45 0 D
aponce         2010-03-01 12:30:05 0 D
jrojas         2010-03-01 12:30:14 0 D
ebeltran       2010-03-01 12:30:21 0 D
fmosquera      2010-03-01 12:30:28 0 D
nzurita        2010-03-01 12:30:56 0 D
nnumbela       2010-03-01 12:31:21 0 D
