eargandona     02/22/2010 08:15:57 D D
hcaceres       02/22/2010 08:21:34 D D
alaura         02/22/2010 08:23:24 D D
jparra         02/22/2010 08:23:30 D D
drocha         02/22/2010 08:24:37 D D
mjaldin        02/22/2010 08:25:35 D D
baranibar      02/22/2010 08:26:51 D D
malmanza       02/22/2010 08:30:58 D D
jmita          02/22/2010 08:32:20 D D
fprudencio     02/22/2010 08:32:26 D D
rvillarroel    02/22/2010 08:32:34 D D
dmaldonado     02/22/2010 08:36:23 D D
fmosquera      02/22/2010 08:36:38 D D
jpinto         02/22/2010 08:40:37 D D
pdaza          02/22/2010 08:41:09 D D
ozarate        02/22/2010 08:47:54 D D
jromay         02/22/2010 09:09:02 D D
nnumbela       02/22/2010 12:31:53 D D
fprudencio     02/22/2010 12:32:46 0 D
malmanza       02/22/2010 12:32:59 0 D
fsanchez       02/22/2010 12:33:28 0 D
aponce         02/22/2010 12:33:54 0 D
nzurita        02/22/2010 12:34:23 0 D
eudaeta        02/22/2010 12:35:24 0 D
rvillarroel    02/22/2010 12:35:43 0 D
fmosquera      02/22/2010 12:36:10 0 D
lgalindo       02/22/2010 12:38:21 0 D
czamora        02/22/2010 12:38:32 0 D
despinoza      02/22/2010 12:38:43 0 D
rvera          02/22/2010 12:40:02 0 D
jmita          02/22/2010 12:42:15 0 D
vbadani        02/22/2010 12:42:46 0 D
baranibar      02/22/2010 12:44:24 0 D
hcaceres       02/22/2010 12:44:47 0 D
alaura         02/22/2010 12:48:38 0 D
ozarate        02/22/2010 12:50:11 0 D
rcordero       02/22/2010 12:50:40 0 D
agutierrez     02/22/2010 12:54:08 D D
eargandona     02/22/2010 12:56:16 0 D
pclaros        02/22/2010 13:02:02 0 D
jparra         02/22/2010 13:03:29 0 D
mjaldin        02/22/2010 13:03:36 0 D
icespedes      02/22/2010 13:03:48 0 D
drocha         02/22/2010 13:04:55 0 D
mescobar       02/22/2010 13:13:59 0 D
jromay         02/22/2010 13:19:58 0 D
eargandona     02/22/2010 13:26:38 D D
eargandona     02/22/2010 13:40:25 D D
jromay         02/22/2010 14:13:06 D D
aencinas       02/22/2010 14:16:46 D D
nnumbela       02/22/2010 14:17:00 D D
baranibar      02/22/2010 14:18:02 D D
hcaceres       02/22/2010 14:18:17 D D
mescobar       02/22/2010 14:18:33 D D
lgalindo       02/22/2010 14:19:16 D D
alaura         02/22/2010 14:20:55 D D
rcordero       02/22/2010 14:21:02 D D
pclaros        02/22/2010 14:22:54 D D
malmanza       02/22/2010 14:25:30 D D
icespedes      02/22/2010 14:25:37 D D
aponce         02/22/2010 14:25:43 D D
fsanchez       02/22/2010 14:27:10 D D
rvillarroel    02/22/2010 14:28:39 D D
drocha         02/22/2010 14:30:15 D D
czamora        02/22/2010 14:30:38 D D
rvera          02/22/2010 14:32:22 D D
jparra         02/22/2010 14:33:37 D D
mjaldin        02/22/2010 14:33:45 D D
despinoza      02/22/2010 14:37:17 D D
eudaeta        02/22/2010 14:39:16 D D
pdaza          02/22/2010 14:39:25 D D
ozarate        02/22/2010 14:41:38 D D
vbadani        02/22/2010 14:45:33 D D
fprudencio     02/22/2010 14:45:43 D D
agutierrez     02/22/2010 14:45:51 D D
nzurita        02/22/2010 14:51:07 D D
fmosquera      02/22/2010 16:07:36 D D
jrojas         02/22/2010 18:31:06 D D
aencinas       02/22/2010 18:31:16 0 D
nzurita        02/22/2010 18:33:32 0 D
rvillarroel    02/22/2010 18:34:24 0 D
fmosquera      02/22/2010 18:34:45 0 D
lgalindo       02/22/2010 18:37:04 0 D
dayaviri       02/22/2010 18:40:44 D D
dayaviri       02/22/2010 18:40:54 0 D
eudaeta        02/22/2010 18:45:41 0 D
jfuertes       02/22/2010 18:50:30 0 D
jmita          02/22/2010 18:56:20 0 D
aponce         02/22/2010 18:58:55 0 D
czamora        02/22/2010 19:03:18 0 D
msinaniz       02/22/2010 19:04:35 0 D
dhuarita       02/22/2010 19:04:44 0 D
agutierrez     02/22/2010 19:04:57 0 D
pdaza          02/22/2010 19:07:30 0 D
jromay         02/22/2010 19:08:21 0 D
fprudencio     02/22/2010 19:11:46 0 D
ozarate        02/22/2010 19:13:31 D D
fsanchez       02/22/2010 19:17:24 0 D
despinoza      02/22/2010 19:28:09 0 D
nnumbela       02/22/2010 19:53:49 0 D
drocha         02/22/2010 19:58:12 0 D
rcordero       02/22/2010 20:41:40 D D
jleano         02/22/2010 20:47:14 0 D
icespedes      02/22/2010 20:53:04 0 D
frojas         02/22/2010 20:53:11 0 D
jparra         02/22/2010 20:53:26 D D
mjaldin        02/22/2010 20:53:34 0 D
alaura         02/22/2010 21:07:56 0 D
baranibar      02/22/2010 21:11:21 0 D
malmanza       02/22/2010 21:11:27 0 D
rvera          02/22/2010 21:13:08 0 D
vbadani        02/22/2010 21:24:17 0 D
hcaceres       02/22/2010 22:38:41 0 D
eargandona     02/22/2010 22:39:08 0 D
